CRASH_ID,CRASH_DATE,CRASH_TIME,BOROUGH,LATITUDE,LONGITUDE,ON_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,VEHICLE_TYPE_CODE_1
100756,12/22/2024,10:51,MANHATTAN,40.77858,-73.947954,Unnamed Street,0,0,Unsafe Speed,SUV
100669,03/09/2024,14:25,QUEENS,40.597028,-73.876628,Unnamed Street,0,0,Pavement Slippery,Taxi
100030,02/11/2024,20:57,MANHATTAN,40.755222,-73.987039,Times Square area,2,0,Failure to Yield Right-of-Way,Box Truck
100388,03/20/2024,17:03,BROOKLYN,40.693253,-73.99115,Downtown Brooklyn,0,0,Pavement Slippery,Box Truck
100192,01/30/2024,16:29,MANHATTAN,40.729612,-73.991029,Union Square area,2,0,Traffic Control Disregarded,Taxi
100355,02/19/2023,14:16,BROOKLYN,40.693831,-73.990446,Downtown Brooklyn,0,0,Alcohol Involvement,Bike
100107,01/22/2024,18:40,MANHATTAN,40.760851,-73.983881,Times Square area,0,0,Alcohol Involvement,Pick-up Truck
100487,07/05/2023,01:22,QUEENS,40.762651,-73.827734,"Flushing, Queens",1,0,Backing Unsafely,Taxi
100477,01/09/2024,05:10,QUEENS,40.766781,-73.827873,"Flushing, Queens",3,0,Following Too Closely,Bus
100451,01/24/2023,13:19,QUEENS,40.766408,-73.825928,"Flushing, Queens",0,0,Failure to Yield Right-of-Way,SUV
100512,03/12/2024,11:37,QUEENS,40.762823,-73.829359,"Flushing, Queens",0,0,Unspecified,Box Truck
100352,11/13/2024,12:27,BROOKLYN,40.6917,-73.99414,Downtown Brooklyn,0,0,Driver Inattention/Distraction,Pick-up Truck
100883,01/15/2023,15:45,BROOKLYN,40.650848,-74.026612,Unnamed Street,1,0,Alcohol Involvement,Box Truck
100751,02/09/2023,21:04,QUEENS,40.724436,-73.770892,Unnamed Street,0,0,Following Too Closely,Box Truck
100554,09/21/2024,06:42,BRONX,40.858609,-73.889756,"Fordham Rd, The Bronx",2,0,Traffic Control Disregarded,SUV
100239,08/11/2024,13:50,MANHATTAN,40.735952,-73.99292,Union Square area,1,0,Turning Improperly,Bike
100096,10/18/2023,12:55,MANHATTAN,40.754819,-73.988854,Times Square area,2,0,Driver Inattention/Distraction,Bike
100281,10/19/2024,07:41,MANHATTAN,40.731391,-73.991987,Union Square area,0,0,Traffic Control Disregarded,Bus
100529,12/28/2023,07:33,QUEENS,40.761368,-73.829248,"Flushing, Queens",2,0,Following Too Closely,Box Truck
100321,07/09/2023,10:51,BROOKLYN,40.697542,-73.993345,Downtown Brooklyn,0,0,Alcohol Involvement,Box Truck
100538,11/09/2023,16:04,QUEENS,40.759465,-73.831659,"Flushing, Queens",0,0,Following Too Closely,Pick-up Truck
100063,01/15/2024,19:53,MANHATTAN,40.762653,-73.985153,Times Square area,3,0,Alcohol Involvement,Sedan
100039,03/13/2023,13:38,MANHATTAN,40.757288,-73.979884,Times Square area,0,0,Unsafe Speed,Box Truck
100874,08/09/2023,16:30,STATEN ISLAND,40.555514,-73.874145,Unnamed Street,0,0,Backing Unsafely,Taxi
100682,02/15/2023,00:02,QUEENS,40.846547,-74.012277,Unnamed Street,0,0,Pavement Slippery,Sedan
100543,09/20/2024,07:25,BRONX,40.86397,-73.899546,"Fordham Rd, The Bronx",0,0,Turning Improperly,Pick-up Truck
100858,10/26/2023,21:55,QUEENS,40.647734,-73.8232,Unnamed Street,1,0,Failure to Yield Right-of-Way,Bus
100604,09/20/2024,17:36,BRONX,40.861676,-73.892687,"Fordham Rd, The Bronx",0,0,Turning Improperly,Pick-up Truck
